layout,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Tactical + Shape,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.2707052097292969,0.08664103641290773,0.8790313609287932,0.47768808272563695,0.02337824372902034
Tactical + Shape,shot,Random Forest,0,12,1865,0.13083109919571045,0.26529228323775844,0.08481989991501364,0.8828566660935873,0.48433824863078834,0.018156376759485858
Tactical + Shape,shot,Gradient Boosting,0,12,1865,0.13083109919571045,0.26882878300157037,0.08471095851893834,0.8843028488789555,0.488829318772566,0.023704727932694947
Tactical + Shape,shot,Histogram Gradient Boosting,0,12,1865,0.13083109919571045,0.26489646487980656,0.08480215327270785,0.8842320567146368,0.4905074994059987,0.015613983195988189
Tactical + Shape,shot,XGBoost,0,12,1865,0.13083109919571045,0.2609858512878418,0.08368111401796341,0.8868437819196813,0.5042526278060825,0.014878080373794721
Tactical + Shape,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.2479090649979875,0.07794804858785447,0.8871423934715074,0.5182689510742986,0.014569326753302705
Tactical + Shape,shot,Random Forest,1,13,1966,0.12054933875890132,0.2523696679314062,0.07805797441702766,0.8800506621958988,0.5054096479779584,0.011805556264267611
Tactical + Shape,shot,Gradient Boosting,1,13,1966,0.12054933875890132,0.25278012877623884,0.0772544814574761,0.8828229287922826,0.5282580301780307,0.014588738262922374
Tactical + Shape,shot,Histogram Gradient Boosting,1,13,1966,0.12054933875890132,0.24381465274708639,0.07626345968323384,0.8921109980403784,0.5276747846928024,0.013177392035454635
Tactical + Shape,shot,XGBoost,1,13,1966,0.12054933875890132,0.24369491636753082,0.07624088227748871,0.8916204825598563,0.5244338447564295,0.009007436796522581
Tactical + Shape,shot,Logistic Regression,2,13,1945,0.119280205655527,0.2414112571574601,0.07392505496526558,0.8884166716991768,0.555686242760252,0.006569268296175617
Tactical + Shape,shot,Random Forest,2,13,1945,0.119280205655527,0.2495491171487843,0.07617245287873571,0.8805735048412746,0.5291931823091592,0.013583863715694828
Tactical + Shape,shot,Gradient Boosting,2,13,1945,0.119280205655527,0.24911018412683741,0.07644428563289063,0.8849568210640738,0.5345498455017139,0.01920527879345801
Tactical + Shape,shot,Histogram Gradient Boosting,2,13,1945,0.119280205655527,0.24844963228291134,0.07669676717251579,0.8856815025061902,0.5149613356439585,0.013628381013686028
Tactical + Shape,shot,XGBoost,2,13,1945,0.119280205655527,0.23952873051166534,0.07408243417739868,0.8930994222678503,0.5443979944205786,0.013382094820774612
Tactical + Shape,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.2597748560602719,0.08056351509952815,0.8848496340742146,0.560981689461276,0.019217967286282233
Tactical + Shape,shot,Random Forest,3,13,1975,0.13063291139240507,0.2524077418422884,0.07881749392425709,0.8946309815660088,0.570009983226266,0.014262059505213724
Tactical + Shape,shot,Gradient Boosting,3,13,1975,0.13063291139240507,0.2618355144604347,0.08141217987176327,0.8900913347148668,0.5508542176863114,0.02696364909967861
Tactical + Shape,shot,Histogram Gradient Boosting,3,13,1975,0.13063291139240507,0.25424935681338884,0.07925653688355762,0.8959944558067297,0.5505753172733995,0.022485120724173514
Tactical + Shape,shot,XGBoost,3,13,1975,0.13063291139240507,0.25022080540657043,0.0779808834195137,0.897179594840469,0.5726744296584505,0.014975546745559835
Tactical + Shape,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.26029177453495334,0.08245598696121109,0.8768765846159989,0.47727368645108914,0.025370734860517854
Tactical + Shape,shot,Random Forest,4,13,1934,0.12202688728024819,0.25488875757053986,0.08047552883282263,0.8788679603122318,0.4901507481540181,0.01605100173173459
Tactical + Shape,shot,Gradient Boosting,4,13,1934,0.12202688728024819,0.25472877207813294,0.07923117478458784,0.8871778363378651,0.5118283089253666,0.024754124070687458
Tactical + Shape,shot,Histogram Gradient Boosting,4,13,1934,0.12202688728024819,0.2504326000602412,0.08004435810457591,0.8903246092112356,0.49178196584034245,0.020524482689369298
Tactical + Shape,shot,XGBoost,4,13,1934,0.12202688728024819,0.24904638528823853,0.07924415916204453,0.8904069593340123,0.4976406968085752,0.014616950812837207
Tactical + Shape,shot,Soft Vote: All,0,12,1865,0.13083109919571045,0.2608497733101803,0.08315535843056297,0.889506072956382,0.49810257432230726,0.0163410720273331
Tactical + Shape,shot,Soft Vote: All,1,13,1966,0.12054933875890132,0.2426384055152865,0.07542657361264904,0.8939705641904176,0.5396576401082974,0.016246239625881422
Tactical + Shape,shot,Soft Vote: All,2,13,1945,0.119280205655527,0.23955228467029907,0.07386220135612583,0.8935775107192463,0.554112612755558,0.008254947580593528
Tactical + Shape,shot,Soft Vote: All,3,13,1975,0.13063291139240507,0.24969168610643142,0.07789242053117246,0.8993715377009657,0.5825949544806692,0.020103761198608995
Tactical + Shape,shot,Soft Vote: All,4,13,1934,0.12202688728024819,0.24817120789806263,0.07852065820939187,0.8916521930087241,0.5080412904579219,0.018353874611010113
Tactical + Shape,shot,Soft Vote: Boosting,0,12,1865,0.13083109919571045,0.2617793119294901,0.08345650733528646,0.8881281540437496,0.49977350666116394,0.019959849939082674
Tactical + Shape,shot,Soft Vote: Boosting,1,13,1966,0.12054933875890132,0.243683207781214,0.0757182189428142,0.8922891454537024,0.5335837179533645,0.015645564261456194
Tactical + Shape,shot,Soft Vote: Boosting,2,13,1945,0.119280205655527,0.24224154376798074,0.07489783237470143,0.8908574390563038,0.5406277821274986,0.007972370262286366
Tactical + Shape,shot,Soft Vote: Boosting,3,13,1975,0.13063291139240507,0.25134622102020776,0.07853119359823375,0.8985046931505736,0.5694612425530645,0.018797563251177114
Tactical + Shape,shot,Soft Vote: Boosting,4,13,1934,0.12202688728024819,0.24836800313907317,0.07858882779557323,0.8924058214050428,0.5067615433476096,0.017590059168492954
Tactical + Shape,shot,Soft Vote: LR + XGB,0,12,1865,0.13083109919571045,0.2615985693160426,0.08367426889933016,0.8872129124907718,0.5007978725972395,0.018479976915470132
Tactical + Shape,shot,Soft Vote: LR + XGB,1,13,1966,0.12054933875890132,0.24173040710140212,0.07566993619606756,0.8943097763883907,0.5347752060752784,0.010421975609149913
Tactical + Shape,shot,Soft Vote: LR + XGB,2,13,1945,0.119280205655527,0.23608792493583214,0.07268136119184102,0.8967454757734967,0.5667981040721032,0.01026448093827377
Tactical + Shape,shot,Soft Vote: LR + XGB,3,13,1975,0.13063291139240507,0.25092714635402846,0.07800366838020106,0.8957574279999819,0.5836800334144463,0.015004990752962058
Tactical + Shape,shot,Soft Vote: LR + XGB,4,13,1934,0.12202688728024819,0.2503775140310417,0.07948170285277782,0.8883956199716516,0.49990440642754685,0.02318338075298991
Tactical + Shape,box_entry,Logistic Regression,0,12,1865,0.33351206434316355,0.3738571585138339,0.11849709286110215,0.8981046270691436,0.8326107580384416,0.02148507387626805
Tactical + Shape,box_entry,Random Forest,0,12,1865,0.33351206434316355,0.36870327747094783,0.11822293688321545,0.9010161082124203,0.8393257753663257,0.02371680590183378
Tactical + Shape,box_entry,Gradient Boosting,0,12,1865,0.33351206434316355,0.37629916309577066,0.11935123291738234,0.8978679318007207,0.8342907238829892,0.029703310822930522
Tactical + Shape,box_entry,Histogram Gradient Boosting,0,12,1865,0.33351206434316355,0.3628331643191777,0.11608057211357982,0.9038862000191427,0.8440617418616968,0.02859427802099894
Tactical + Shape,box_entry,XGBoost,0,12,1865,0.33351206434316355,0.36451029777526855,0.11632468551397324,0.9030480659539079,0.8431465814069671,0.021867728640822242
Tactical + Shape,box_entry,Logistic Regression,1,13,1966,0.3158697863682604,0.3701725525101202,0.11898085252265593,0.8968374548785087,0.8113358891969855,0.01961998440301997
Tactical + Shape,box_entry,Random Forest,1,13,1966,0.3158697863682604,0.363887290861465,0.11653756647709167,0.9002604026363522,0.821692786836933,0.018744194997998558
Tactical + Shape,box_entry,Gradient Boosting,1,13,1966,0.3158697863682604,0.37167018611644415,0.11759402160028927,0.8982238744320529,0.8155173768489616,0.032470633275317906
Tactical + Shape,box_entry,Histogram Gradient Boosting,1,13,1966,0.3158697863682604,0.3564483609863574,0.11338065336302912,0.904125136935869,0.8282263365923477,0.020232111748917432
Tactical + Shape,box_entry,XGBoost,1,13,1966,0.3158697863682604,0.3576570749282837,0.11404683440923691,0.90359235912816,0.8275897722787381,0.020170194412357074
Tactical + Shape,box_entry,Logistic Regression,2,13,1945,0.3038560411311054,0.3557252653006116,0.1127136368879406,0.9021724188779502,0.8175045157847859,0.017102389479792927
Tactical + Shape,box_entry,Random Forest,2,13,1945,0.3038560411311054,0.3550754935082424,0.11233303414756891,0.9026023038837111,0.8203702112042336,0.021193853763193257
Tactical + Shape,box_entry,Gradient Boosting,2,13,1945,0.3038560411311054,0.3597014567987763,0.11274392839316731,0.9020574496322233,0.8169490256183062,0.032011455193609255
Tactical + Shape,box_entry,Histogram Gradient Boosting,2,13,1945,0.3038560411311054,0.3443703797610955,0.10860005596455795,0.9074934954899563,0.8328029309814122,0.016791280791976438
Tactical + Shape,box_entry,XGBoost,2,13,1945,0.3038560411311054,0.3463970422744751,0.10895812511444092,0.9068786599584612,0.8289942984170181,0.016054270767001076
Tactical + Shape,box_entry,Logistic Regression,3,13,1975,0.30278481012658226,0.3675233708000682,0.11750833858190556,0.8950301537684319,0.7959119307937099,0.02323748672878577
Tactical + Shape,box_entry,Random Forest,3,13,1975,0.30278481012658226,0.37281621149010813,0.11847166633103387,0.8908841624101641,0.7989171609172289,0.02043912302718404
Tactical + Shape,box_entry,Gradient Boosting,3,13,1975,0.30278481012658226,0.3794281095689675,0.12105876986895245,0.8880521612831929,0.7905949931666361,0.020582478197124787
Tactical + Shape,box_entry,Histogram Gradient Boosting,3,13,1975,0.30278481012658226,0.36112865067353717,0.1165234866705714,0.8984936474280036,0.8059712402408362,0.024108832266550643
Tactical + Shape,box_entry,XGBoost,3,13,1975,0.30278481012658226,0.3591720759868622,0.1155814379453659,0.8989575515577221,0.8106045841022773,0.01715975845916361
Tactical + Shape,box_entry,Logistic Regression,4,13,1934,0.3247156153050672,0.3687207856908736,0.11512168416197913,0.899547409798968,0.834981557158395,0.025195117736112695
Tactical + Shape,box_entry,Random Forest,4,13,1934,0.3247156153050672,0.3657056721513739,0.11636674866451745,0.9010946537782503,0.8292066561375689,0.02286209377423183
Tactical + Shape,box_entry,Gradient Boosting,4,13,1934,0.3247156153050672,0.37221941369215555,0.116586671873967,0.8978343461339626,0.8314348486190652,0.03348443405176039
Tactical + Shape,box_entry,Histogram Gradient Boosting,4,13,1934,0.3247156153050672,0.35556900063632196,0.11237267524812557,0.9068166521980863,0.8390400254399533,0.02187242552040998
Tactical + Shape,box_entry,XGBoost,4,13,1934,0.3247156153050672,0.35675573348999023,0.11218372732400894,0.9058461193316492,0.8402879318218317,0.019178942479616972
Tactical + Shape,box_entry,Soft Vote: All,0,12,1865,0.33351206434316355,0.362021711571149,0.11525727755714003,0.9049597359360328,0.8467837827434073,0.021150680009324678
Tactical + Shape,box_entry,Soft Vote: All,1,13,1966,0.3158697863682604,0.3561778661913383,0.11332165038205894,0.9056971307819861,0.8308762420537794,0.023387056507260664
Tactical + Shape,box_entry,Soft Vote: All,2,13,1945,0.3038560411311054,0.3453900376331074,0.10878121512138593,0.9088543814529614,0.831290426032267,0.022936287285883768
Tactical + Shape,box_entry,Soft Vote: All,3,13,1975,0.30278481012658226,0.3599734890934479,0.11507905210210866,0.8994797473058342,0.8091494928092412,0.011904420095671048
Tactical + Shape,box_entry,Soft Vote: All,4,13,1934,0.3247156153050672,0.35619752982586544,0.11192694834803735,0.906866641956282,0.8433393739283341,0.0235304105778575
Tactical + Shape,box_entry,Soft Vote: Boosting,0,12,1865,0.33351206434316355,0.3642418785083912,0.11590074042350033,0.9035214564907532,0.8444901266254817,0.02266388341922854
Tactical + Shape,box_entry,Soft Vote: Boosting,1,13,1966,0.3158697863682604,0.3579457027432656,0.11354231677535452,0.9043166974959443,0.8287320197447421,0.025237401253490947
Tactical + Shape,box_entry,Soft Vote: Boosting,2,13,1945,0.3038560411311054,0.34697187350318665,0.10890476094583545,0.9075084914785295,0.8296540950357568,0.020382261270090195
Tactical + Shape,box_entry,Soft Vote: Boosting,3,13,1975,0.30278481012658226,0.3626106227395501,0.11630974735341232,0.897788075963694,0.8067919313719544,0.02233247260973999
Tactical + Shape,box_entry,Soft Vote: Boosting,4,13,1934,0.3247156153050672,0.35770607705602525,0.11238015576253267,0.9058534349060192,0.8407123604501934,0.028794896699336523
Tactical + Shape,box_entry,Soft Vote: LR + XGB,0,12,1865,0.33351206434316355,0.3640904817090065,0.11566830550960837,0.9032912283061673,0.8428474039384726,0.03052840053967752
Tactical + Shape,box_entry,Soft Vote: LR + XGB,1,13,1966,0.3158697863682604,0.3581338293845837,0.11444358604496599,0.9037970894767404,0.825779697860475,0.021916724520832286
Tactical + Shape,box_entry,Soft Vote: LR + XGB,2,13,1945,0.3038560411311054,0.3465256665043102,0.10922876408228789,0.9076547023671169,0.8288215965083546,0.02152636016489681
Tactical + Shape,box_entry,Soft Vote: LR + XGB,3,13,1975,0.30278481012658226,0.357470901716736,0.11445252649864197,0.9004913497667121,0.8101431946922607,0.014564698674768749
Tactical + Shape,box_entry,Soft Vote: LR + XGB,4,13,1934,0.3247156153050672,0.35702428905595285,0.11176015281298249,0.9060436398396426,0.8432244075159281,0.02389550221150912
Tactical + Shape,transition_conceded,Logistic Regression,0,12,1865,0.0005361930294906167,0.004226967926893963,0.0005439104456125735,0.971030042918455,0.01818181818181818,0.0012708500025217049
Tactical + Shape,transition_conceded,Random Forest,0,12,1865,0.0005361930294906167,0.0044689059438913345,0.0005558087285903782,0.9243562231759657,0.007042253521126761,0.00127026106253089
Tactical + Shape,transition_conceded,Gradient Boosting,0,12,1865,0.0005361930294906167,0.003771976200471691,0.0005394652840677216,0.9640557939914164,0.014705882352941176,0.00019758046846643789
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,0,12,1865,0.0005361930294906167,0.005267708482251063,0.0005368272141075362,0.7956008583690988,0.002617801047120419,0.0004151067408950231
Tactical + Shape,transition_conceded,XGBoost,0,12,1865,0.0005361930294906167,0.004993994254618883,0.0005368561251088977,0.5,0.0005361930294906167,0.000974974821786079
Tactical + Shape,transition_conceded,Logistic Regression,1,13,1966,0.001017293997965412,0.008040271183640564,0.0010263672657170137,0.7054480651731161,0.006313551208795639,0.00036408134094059416
Tactical + Shape,transition_conceded,Random Forest,1,13,1966,0.001017293997965412,0.012000171667122375,0.001041435702681231,0.554735234215886,0.001966372946504572,0.0008468274380615572
Tactical + Shape,transition_conceded,Gradient Boosting,1,13,1966,0.001017293997965412,0.009332367225002084,0.0010273263918004838,0.5982688391038696,0.002432637629960179,0.00038187291150402927
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,1,13,1966,0.001017293997965412,0.010175452383049212,0.0010173507429441968,0.7536914460285132,0.00325044312376186,0.0009360188248117591
Tactical + Shape,transition_conceded,XGBoost,1,13,1966,0.001017293997965412,0.00809087697416544,0.0010164235718548298,0.5,0.001017293997965412,0.00040551043309305446
Tactical + Shape,transition_conceded,Logistic Regression,2,13,1945,0.002056555269922879,0.013803137650301356,0.002044284188228573,0.8069294178258629,0.025329265422439344,0.0009209933380639232
Tactical + Shape,transition_conceded,Random Forest,2,13,1945,0.002056555269922879,0.020624641270598758,0.0020499707716861004,0.6165636269963937,0.01764986880016315,0.0007806158587347737
Tactical + Shape,transition_conceded,Gradient Boosting,2,13,1945,0.002056555269922879,0.015853752110089128,0.002056376956842764,0.8742916022668727,0.010530173802255379,0.001701319640502518
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,2,13,1945,0.002056555269922879,0.020274946393432202,0.002056370424665047,0.7438176197836166,0.006164166241251918,0.0019897582342885086
Tactical + Shape,transition_conceded,XGBoost,2,13,1945,0.002056555269922879,0.015057055279612541,0.002053125062957406,0.5,0.002056555269922879,0.0008937644601648715
Tactical + Shape,transition_conceded,Logistic Regression,3,13,1975,0.0020253164556962027,0.013958522030325937,0.0020369973656737335,0.8556570268899036,0.009323289843220518,0.0008474711488256771
Tactical + Shape,transition_conceded,Random Forest,3,13,1975,0.0020253164556962027,0.021125690456600777,0.002037122974248733,0.6177067478437341,0.005688374668270424,0.0007127326821203411
Tactical + Shape,transition_conceded,Gradient Boosting,3,13,1975,0.0020253164556962027,0.017779561490518504,0.0020285445638775334,0.6886098427194318,0.0046932502453250315,0.0016134356118369065
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,3,13,1975,0.0020253164556962027,0.018847716314134098,0.0020283487166367457,0.7976915271435819,0.0202222191651926,0.0018996825188253167
Tactical + Shape,transition_conceded,XGBoost,3,13,1975,0.0020253164556962027,0.014842672273516655,0.002021950902417302,0.5,0.0020253164556962027,0.0008580015137013568
Tactical + Shape,transition_conceded,Logistic Regression,4,13,1934,0.001034126163391934,0.00740076544339624,0.0010453833030855317,0.8993271221532091,0.007592925425229872,0.0003546773766586157
Tactical + Shape,transition_conceded,Random Forest,4,13,1934,0.001034126163391934,0.012530853974596386,0.0010560680224805988,0.4990942028985507,0.001397344771836812,0.0005354440150384992
Tactical + Shape,transition_conceded,Gradient Boosting,4,13,1934,0.001034126163391934,0.00892130374685292,0.001053134896502917,0.7435300207039337,0.0029318052914289526,0.0005890773285766805
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,4,13,1934,0.001034126163391934,0.010211021465061637,0.00103495184375709,0.7784679089026915,0.0033963411264024764,0.0009274254652032962
Tactical + Shape,transition_conceded,XGBoost,4,13,1934,0.001034126163391934,0.008200958371162415,0.0010332072852179408,0.5,0.001034126163391934,0.0003878468294380446
Tactical + Shape,transition_conceded,Soft Vote: All,0,12,1865,0.0005361930294906167,0.004076519311628885,0.0005357984583545035,0.9511802575107297,0.010869565217391304,0.0006595926514689537
Tactical + Shape,transition_conceded,Soft Vote: All,1,13,1966,0.001017293997965412,0.00822974023747747,0.0010191132157857297,0.6059063136456211,0.003033855773581801,5.959156829983699e-05
Tactical + Shape,transition_conceded,Soft Vote: All,2,13,1945,0.002056555269922879,0.013823824378921198,0.0020489532243965487,0.8696548171045853,0.018807061305030355,0.0012574132146767245
Tactical + Shape,transition_conceded,Soft Vote: All,3,13,1975,0.0020253164556962027,0.014793075613246769,0.002023741582694155,0.7884322678843227,0.007056511835689817,0.001162903663264899
Tactical + Shape,transition_conceded,Soft Vote: All,4,13,1934,0.001034126163391934,0.008142301514820972,0.0010366468726437496,0.7761387163561078,0.0033787401743451346,1.2158413115843794e-05
Tactical + Shape,transition_conceded,Soft Vote: Boosting,0,12,1865,0.0005361930294906167,0.00421312558171724,0.0005359621296353891,0.9560085836909871,0.012048192771084338,0.00025248292739604575
Tactical + Shape,transition_conceded,Soft Vote: Boosting,1,13,1966,0.001017293997965412,0.008258537744074142,0.0010177994465812752,0.6196537678207739,0.0024420386840514636,0.00030412702346403015
Tactical + Shape,transition_conceded,Soft Vote: Boosting,2,13,1945,0.002056555269922879,0.015738270073434483,0.002054536259716012,0.8652756311179804,0.009767385659464318,0.0015282807783186326
Tactical + Shape,transition_conceded,Soft Vote: Boosting,3,13,1975,0.0020253164556962027,0.015752363706649043,0.0020242918893057424,0.7142313546423136,0.006309055575009488,0.0014570398814545268
Tactical + Shape,transition_conceded,Soft Vote: Boosting,4,13,1934,0.001034126163391934,0.008379881808424253,0.001035766994825397,0.738871635610766,0.0028800481010121254,0.0003167757510241175
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,0,12,1865,0.0005361930294906167,0.004378011338855156,0.0005362871126427302,0.971030042918455,0.01818181818181818,0.001122912356945629
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,1,13,1966,0.001017293997965412,0.007816879228096386,0.0010179526353151465,0.7054480651731161,0.006313551208795639,0.0003847946405786413
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,2,13,1945,0.002056555269922879,0.014067024098519221,0.002047268647566668,0.8069294178258629,0.025329265422439344,0.0009073823138877795
