layout,target,model,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,target_rank
Context + History,box_entry,XGBoost,9685,0.31595250387196694,0.48663461208343506,0.16451454162597656,0.7840951535331113,0.6454103074375912,0.016266157252307272,1.0
Context + History,box_entry,Soft Vote: Boosting,9685,0.31595250387196694,0.4867133962693508,0.16429697951152572,0.7849181650018499,0.6452498052209994,0.012819768799450619,2.0
Player-Aware,box_entry,Soft Vote: Boosting,9685,0.31595250387196694,0.4873540209654536,0.16444012604247224,0.7849691700579602,0.6456614630826762,0.013699653727277925,3.0
Context + History,box_entry,Soft Vote: All,9685,0.31595250387196694,0.48767131127052255,0.16447754060892267,0.784923911703046,0.6469983354825908,0.015648571301654736,4.0
Player-Aware,box_entry,XGBoost,9685,0.31595250387196694,0.4879496991634369,0.16500529646873474,0.7837631520532742,0.6446400706222494,0.015283575676339282,5.0
Player-Aware,box_entry,Soft Vote: All,9685,0.31595250387196694,0.48864777805429616,0.16461303255226764,0.7844392156862746,0.6464802543932533,0.018148360829395145,6.0
Player-Aware,box_entry,Histogram Gradient Boosting,9685,0.31595250387196694,0.48936237682324296,0.16587580421325226,0.7807880133185349,0.6410078167794335,0.024237185319050204,7.0
Context + History,box_entry,Histogram Gradient Boosting,9685,0.31595250387196694,0.4901526612611725,0.1661188956802564,0.781089086200518,0.6391773634016794,0.019216894253617275,8.0
Context + History,box_entry,Gradient Boosting,9685,0.31595250387196694,0.491608602832522,0.16528333691988722,0.782871328153903,0.6404686254665966,0.014005315729220296,9.0
Player-Aware,box_entry,Random Forest,9685,0.31595250387196694,0.49210188911070757,0.166001648816049,0.7772182759896411,0.6380001156704087,0.019629385472621812,10.0
Player-Aware,box_entry,Gradient Boosting,9685,0.31595250387196694,0.4931920756828444,0.16564746467681793,0.7826831668516462,0.6411666143044825,0.018189880637604065,11.0
Context + History,box_entry,Random Forest,9685,0.31595250387196694,0.4944868134424164,0.16676366512893814,0.7765434455543224,0.6358487892309475,0.025131627295564073,12.0
Context + History,box_entry,Soft Vote: LR + XGB,9685,0.31595250387196694,0.4952581926600291,0.16702055697279777,0.7792511530398324,0.6379159931922482,0.021783426479665507,13.0
Player-Aware,box_entry,Soft Vote: LR + XGB,9685,0.31595250387196694,0.49845513644951683,0.16821495630017247,0.7769467011962018,0.6348170253526889,0.025661424045921102,14.0
Context + History,box_entry,Logistic Regression,9685,0.31595250387196694,0.517733828497131,0.17489777344957722,0.7598967073621902,0.6111853756973264,0.04236563487811659,15.0
Player-Aware,box_entry,Logistic Regression,9685,0.31595250387196694,0.5306310797409349,0.1799327578346616,0.7506715008015784,0.6012254022213865,0.04764678960203663,16.0
Context + History,shot,XGBoost,9685,0.1246257098606092,0.3337600529193878,0.10010813176631927,0.7298660620314033,0.2801670639869715,0.006726934891973014,1.0
Player-Aware,shot,Soft Vote: Boosting,9685,0.1246257098606092,0.3340532218449082,0.10002502195594234,0.7309541162437484,0.2770356173834755,0.0042457422556620985,2.0
Context + History,shot,Soft Vote: Boosting,9685,0.1246257098606092,0.3341374264353068,0.10008154110970192,0.7283114266409693,0.2797684240265341,0.003950304168147395,3.0
Player-Aware,shot,XGBoost,9685,0.1246257098606092,0.33425527811050415,0.10015057772397995,0.730082470873979,0.27697196938165347,0.008823290745745508,4.0
Context + History,shot,Soft Vote: All,9685,0.1246257098606092,0.3344211442556946,0.10009392802004828,0.7294118917465215,0.2787723237359083,0.0045905004580845035,5.0
Player-Aware,shot,Soft Vote: All,9685,0.1246257098606092,0.3346220347149954,0.10011331656787319,0.7305723102613851,0.2767363424840732,0.003827029102179857,6.0
Context + History,shot,Gradient Boosting,9685,0.1246257098606092,0.33614338039112335,0.10038875786074099,0.7270199119588826,0.2728967612612588,0.008373152763380158,7.0
Player-Aware,shot,Histogram Gradient Boosting,9685,0.1246257098606092,0.33713743569780047,0.10091381133970656,0.7264679203818725,0.27233710181226173,0.016017784139989406,8.0
Context + History,shot,Soft Vote: LR + XGB,9685,0.1246257098606092,0.3376871195838694,0.1009450533058819,0.7273787529026343,0.2635360389461901,0.004673545963347127,9.0
Player-Aware,shot,Gradient Boosting,9685,0.1246257098606092,0.33783806287965407,0.10075174688460263,0.7255488302195673,0.26812843463922814,0.007615292192720433,10.0
Player-Aware,shot,Random Forest,9685,0.1246257098606092,0.33971991016392644,0.10137311288254838,0.7176424560434502,0.2653269751712601,0.01670823104040142,11.0
Context + History,shot,Histogram Gradient Boosting,9685,0.1246257098606092,0.33975217740582075,0.1015893017502536,0.7188614598376656,0.2662998538127872,0.016822071410898438,12.0
Player-Aware,shot,Soft Vote: LR + XGB,9685,0.1246257098606092,0.34032257418966183,0.10158982451737554,0.720500137497061,0.2600837366036455,0.008031073662425002,13.0
Context + History,shot,Random Forest,9685,0.1246257098606092,0.34178289746486984,0.10164374087960834,0.7140704153036672,0.27099430618250864,0.019981364474144687,14.0
Context + History,shot,Logistic Regression,9685,0.1246257098606092,0.3496335641716084,0.10416936742487726,0.7037923878421718,0.2333117361980978,0.01201033805419262,15.0
Player-Aware,shot,Logistic Regression,9685,0.1246257098606092,0.35874508931770177,0.10630179676351803,0.6816236497290223,0.2238482517189683,0.02406252264771439,16.0
Player-Aware,transition_box_15,Soft Vote: All,9685,0.026742385131646878,0.1233237548133502,0.02606252910476217,0.5835289231215393,0.03688782908887087,0.0008110021215939151,1.0
Context + History,transition_box_15,Logistic Regression,9685,0.026742385131646878,0.12384745017548791,0.0261267117266716,0.5929186665978519,0.036676105838013395,0.0015438340217518633,2.0
Player-Aware,transition_box_15,Gradient Boosting,9685,0.026742385131646878,0.12393765561034056,0.026161163649795503,0.5667942198814255,0.03223736555533583,0.001302413117705289,3.0
Context + History,transition_box_15,Soft Vote: LR + XGB,9685,0.026742385131646878,0.12414125078477296,0.026088794029499592,0.5723184537633933,0.03735367653354105,0.0013225753838450077,4.0
Player-Aware,transition_box_15,Soft Vote: Boosting,9685,0.026742385131646878,0.12437701558323849,0.026064794114809886,0.5641837618285741,0.03531034318342054,0.004715822121994017,5.0
Context + History,transition_box_15,Gradient Boosting,9685,0.026742385131646878,0.12443697858904891,0.026160857947576836,0.5542230190543367,0.03276539052203101,0.0015272037588436574,6.0
Context + History,transition_box_15,Soft Vote: All,9685,0.026742385131646878,0.12474108791733467,0.026131226584865917,0.5573114944534423,0.03277033167835391,0.0019023709679356154,7.0
Player-Aware,transition_box_15,Soft Vote: LR + XGB,9685,0.026742385131646878,0.12539854135264505,0.026293591095312593,0.5937098324112964,0.03769966460286929,0.0027745410309720025,8.0
Player-Aware,transition_box_15,XGBoost,9685,0.026742385131646878,0.12541742622852325,0.026087915524840355,0.5634816866516421,0.037449386561313525,0.004777484251379536,9.0
Context + History,transition_box_15,Soft Vote: Boosting,9685,0.026742385131646878,0.1259643415536311,0.026177570349763053,0.5509563623822058,0.03172072452949293,0.0036868921661633415,10.0
Context + History,transition_box_15,XGBoost,9685,0.026742385131646878,0.1274084597826004,0.02622014842927456,0.5415051770876087,0.035840382286649916,0.0031538676784004086,11.0
Player-Aware,transition_box_15,Random Forest,9685,0.026742385131646878,0.12963407255834244,0.026540843518872835,0.5354826500593528,0.029562728487894593,0.010134742523897126,12.0
Player-Aware,transition_box_15,Histogram Gradient Boosting,9685,0.026742385131646878,0.13109618095537925,0.02624249834826455,0.5494670127069873,0.03348860610830656,0.010335814389682075,13.0
Context + History,transition_box_15,Histogram Gradient Boosting,9685,0.026742385131646878,0.1312213897623838,0.026425978823321237,0.5523748491603361,0.030244126875747446,0.008622753052602202,14.0
Context + History,transition_box_15,Random Forest,9685,0.026742385131646878,0.13233855484285853,0.026493171780847827,0.5237837182458442,0.03057135848935473,0.0036949164463430514,15.0
Player-Aware,transition_box_15,Logistic Regression,9685,0.026742385131646878,0.13263934145815232,0.027436640239230987,0.5938933386419065,0.03710120856648864,0.009106055594899421,16.0
Player-Aware,transition_shot_15,Gradient Boosting,9685,0.014971605575632421,0.08035870199059365,0.014975851615224385,0.5542098604785657,0.01627783720794182,0.0008820480832426419,1.0
Player-Aware,transition_shot_15,Soft Vote: All,9685,0.014971605575632421,0.08045662900916709,0.014941201677628857,0.5508161642449216,0.01602061769384413,0.0006763604417382332,2.0
Context + History,transition_shot_15,Logistic Regression,9685,0.014971605575632421,0.08070771813566864,0.014913242660604219,0.5473552374756018,0.01684224372980966,0.0003668561904016142,3.0
Context + History,transition_shot_15,Soft Vote: LR + XGB,9685,0.014971605575632421,0.08071133673184303,0.01486032909465564,0.5237696089062388,0.01645770151281617,0.0005778190836440368,4.0
Player-Aware,transition_shot_15,Soft Vote: Boosting,9685,0.014971605575632421,0.08110660640320912,0.014860520528355672,0.5439300947010772,0.015810300102898713,0.0036356144140141425,5.0
Context + History,transition_shot_15,Gradient Boosting,9685,0.014971605575632421,0.08155327659180779,0.014932989423118083,0.4927448854189258,0.014663488118082858,0.0006804733801010096,6.0
Context + History,transition_shot_15,Soft Vote: All,9685,0.014971605575632421,0.08165255577846948,0.014891307975506193,0.49278862141256413,0.01475368788229283,0.0005499970779587422,7.0
Context + History,transition_shot_15,XGBoost,9685,0.014971605575632421,0.08238866180181503,0.014900737442076206,0.5101597628858526,0.01630260359586472,0.0018083026822104432,8.0
Context + History,transition_shot_15,Soft Vote: Boosting,9685,0.014971605575632421,0.08259700950401538,0.014908618923236664,0.4929997108364057,0.014651889152221001,0.002220880648347,9.0
Player-Aware,transition_shot_15,Soft Vote: LR + XGB,9685,0.014971605575632421,0.08294002793419977,0.01523657200330447,0.5524210221933059,0.016983019750108155,0.00254552982722412,10.0
Player-Aware,transition_shot_15,XGBoost,9685,0.014971605575632421,0.0831470787525177,0.014918524771928787,0.5164718426950048,0.014975166759309712,0.0035858929580366967,11.0
Player-Aware,transition_shot_15,Random Forest,9685,0.014971605575632421,0.08706042766821925,0.015260044429156275,0.5028301886792452,0.014371674904116637,0.008370850017413172,12.0
Context + History,transition_shot_15,Random Forest,9685,0.014971605575632421,0.08717006930206116,0.015114990588544866,0.4813771416178703,0.014420419565246863,0.003033887040068457,13.0
Player-Aware,transition_shot_15,Logistic Regression,9685,0.014971605575632421,0.08724811992403363,0.01630157362988172,0.5777184992409456,0.018021722895423538,0.005766285590877965,14.0
Player-Aware,transition_shot_15,Histogram Gradient Boosting,9685,0.014971605575632421,0.08846259539920062,0.014903447557225532,0.543825634352635,0.017356210732567802,0.008716467164512551,15.0
Context + History,transition_shot_15,Histogram Gradient Boosting,9685,0.014971605575632421,0.08927372369989399,0.015079127128795246,0.4809336369551074,0.013805484577539783,0.005751667059033147,16.0
